POZO,FECHA,AGUA_INYECTADA,PIA
well_11,12/04/2019,1701,1385
well_11,13/04/2019,868,711
well_11,14/04/2019,1716,1359
well_11,15/04/2019,1251,983
well_11,16/04/2019,1790,1468
well_11,17/04/2019,879,711
well_11,18/04/2019,85,237
well_11,19/04/2019,515,1412
well_11,20/04/2019,500,1406
well_11,21/04/2019,502,1408
well_11,22/04/2019,491,1408
well_11,23/04/2019,268,753
well_11,24/04/2019,0,0
well_11,25/04/2019,0,0
well_11,26/04/2019,228,619
well_11,27/04/2019,252,675
well_11,28/04/2019,481,1322
well_11,29/04/2019,516,1437
well_11,30/04/2019,502,1430
well_11,1/05/2019,499,1434
well_11,2/05/2019,497,1433
well_11,3/05/2019,487,1400
well_11,4/05/2019,478,1382
well_11,5/05/2019,493,1436
well_11,6/05/2019,490,1439
well_11,7/05/2019,486,1438
well_11,8/05/2019,494,1441
well_11,9/05/2019,193,0
well_11,10/05/2019,497,1430
well_11,11/05/2019,488,1445
well_11,12/05/2019,486,1445
well_11,13/05/2019,485,1447
well_11,14/05/2019,482,1449
well_11,15/05/2019,479,1451
well_11,16/05/2019,477,1456
well_11,17/05/2019,475,1461
well_11,18/05/2019,472,1468
well_11,19/05/2019,467,1472
well_11,20/05/2019,464,1479
well_11,21/05/2019,352,1098
well_11,22/05/2019,471,1464
well_11,23/05/2019,447,1388
well_11,24/05/2019,242,1640
well_11,25/05/2019,1376,1620
well_11,26/05/2019,1355,1462
well_11,27/05/2019,1527,1779
well_11,28/05/2019,1554,1781
well_11,29/05/2019,1495,1719
well_11,30/05/2019,1542,1772
well_11,31/05/2019,1463,1657
well_11,1/06/2019,1623,1764
well_11,2/06/2019,1621,1759
well_11,3/06/2019,1584,1414
well_11,4/06/2019,1574,1397
well_11,5/06/2019,1616,1399
well_11,6/06/2019,385,365
well_11,7/06/2019,1262,1312
well_11,8/06/2019,1258,1308
well_11,9/06/2019,1312,1313
well_11,10/06/2019,1369,1317
well_11,11/06/2019,1354,1290
well_11,12/06/2019,1426,1314
well_11,13/06/2019,1484,1317
well_11,14/06/2019,1160,1006
well_11,15/06/2019,1396,1214
well_11,16/06/2019,1418,1158
well_11,17/06/2019,1472,1175
well_11,18/06/2019,1462,1171
well_11,19/06/2019,1443,1176
well_11,20/06/2019,1450,1185
well_11,21/06/2019,1444,1187
well_11,22/06/2019,1433,1188
well_11,23/06/2019,1427,1190
well_11,24/06/2019,1215,991
well_11,25/06/2019,765,722
well_11,26/06/2019,1225,1192
well_11,27/06/2019,1246,1197
well_11,28/06/2019,1278,1193
well_11,29/06/2019,1281,1195
well_11,30/06/2019,1074,1015
well_11,1/07/2019,1230,1222
well_11,2/07/2019,1221,1222
well_11,3/07/2019,1260,1199
well_11,4/07/2019,1363,1193
well_11,5/07/2019,893,834
well_11,6/07/2019,613,516
well_11,7/07/2019,0,0
well_11,8/07/2019,0,0
well_11,9/07/2019,0,0
well_11,10/07/2019,0,0
well_11,11/07/2019,0,0
well_11,12/07/2019,0,0
well_11,13/07/2019,0,0
well_11,14/07/2019,0,0
well_11,15/07/2019,0,0
well_11,16/07/2019,0,0
well_11,17/07/2019,0,0
well_11,18/07/2019,0,0
well_11,19/07/2019,0,0
well_11,20/07/2019,0,0
well_11,21/07/2019,0,0
well_11,22/07/2019,0,0
well_11,23/07/2019,0,0
well_11,24/07/2019,0,0
well_11,25/07/2019,0,0
well_11,26/07/2019,0,0
well_11,27/07/2019,0,0
well_11,28/07/2019,0,0
well_11,29/07/2019,0,0
well_11,30/07/2019,0,0
well_11,31/07/2019,0,0
well_11,1/08/2019,0,0
well_11,2/08/2019,0,0
well_11,3/08/2019,0,0
well_11,4/08/2019,0,0
well_11,5/08/2019,0,0
well_11,6/08/2019,0,0
well_11,7/08/2019,0,0
well_11,8/08/2019,0,0
well_11,9/08/2019,0,0
well_11,10/08/2019,0,0
well_11,11/08/2019,0,0
well_11,12/08/2019,0,0
well_11,13/08/2019,0,0
